x,s,y
0.000,1.0,0.000
0.000,0.0,0.628
0.071,1.0,0.690
0.071,0.0,1.093
0.143,1.0,1.305
0.143,0.0,1.591
0.214,1.0,1.258
0.214,0.0,1.784
0.286,1.0,0.361
0.286,0.0,0.659
0.357,1.0,-0.685
0.357,0.0,0.057
0.429,1.0,-1.071
0.429,0.0,-0.294
0.500,1.0,12.500
0.500,0.0,10.463
0.571,1.0,16.886
0.571,0.0,13.875
0.643,1.0,21.211
0.643,0.0,17.521
0.714,1.0,24.913
0.714,0.0,20.077
0.786,1.0,28.826
0.786,0.0,23.596
0.857,1.0,34.344
0.857,0.0,27.703
0.929,1.0,42.752
0.929,0.0,34.412
1.000,1.0,50.000
1.000,0.0,40.332
0.374,0.0,0.097
0.951,1.0,45.872
0.732,0.0,21.191
0.599,1.0,25.750
0.156,0.0,1.301
0.058,1.0,0.543
0.866,0.0,28.606
0.601,0.0,15.978
0.708,1.0,40.226
0.021,0.0,0.875
